date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-03-23,-5.376480449166149,-9.514812179879254,-1.5804965337479628,46303877432
2025-03-24,-5.945484405032193,-9.97462269589505,-1.9487302040581973,46303877432
2025-03-25,-6.514488360898238,-10.656609956936572,-2.1777022714516705,46303877432
2025-03-26,-7.083492316764289,-11.090185786828847,-2.8923810033933246,46303877432
2025-03-27,-7.6524962726303265,-12.193493483776837,-3.3598204019958944,46303877432
2025-03-28,-8.221500228496378,-12.202936794833482,-4.023148265084215,46303877432
2025-03-29,-8.79050418436243,-12.850411110631002,-4.698133151147718,46303877432
2025-03-30,-9.359508140228467,-13.307345222625287,-5.5097963371613785,46303877432
2025-03-31,-9.928512096094519,-13.972635216172135,-5.855943285519314,46303877432
2024-12-31,3.9986594018922714,0.9520245987635995,7.04456835212631,46303948414
2025-01-01,4.018659914392803,1.0554055813007681,6.959096037937809,46303948414
2025-01-02,4.038660426893334,1.082261169516636,7.077827384919145,46303948414
2025-01-03,4.0586609393938655,0.9311199705653631,7.062152690869629,46303948414
2025-01-04,4.078661451894398,1.1413252701466696,7.0866625837749115,46303948414
2025-01-05,4.098661964394928,1.202990967944395,7.032616310947846,46303948414
2025-01-06,4.1186624768954605,1.2429464621765192,7.233072571646753,46303948414
2025-01-07,4.138662989395992,1.1315410151426888,7.002637208952368,46303948414
2025-01-08,4.158663501896523,1.2181520639919932,7.069837752915151,46303948414
2025-01-09,4.178664014397055,1.104531754030113,7.273799741138904,46303948414
2025-01-10,4.198664526897586,1.230655695368425,7.218583390212355,46303948414
2025-01-11,4.218665039398117,1.4097578005798594,7.108957268317956,46303948414
2025-01-12,4.238665551898649,1.1999845300554286,7.1676508806819825,46303948414
2025-01-13,4.25866606439918,1.3900944436143425,7.286757918642167,46303948414
2025-01-14,4.278666576899711,1.2210586268550698,7.213481744186336,46303948414
2025-01-15,4.298667089400243,1.1798943719482573,7.22858801767388,46303948414
2025-01-16,4.318667601900774,1.5410795092018954,7.311995805417493,46303948414
2025-01-17,4.3386681144013055,1.528752447089912,7.539648149317617,46303948414
2025-01-18,4.358668626901837,1.3167084655461447,7.3618881951569834,46303948414
2025-01-19,4.378669139402369,1.315634846545202,7.406426485362166,46303948414
2025-01-20,4.3986696519029,1.2409686750572715,7.479211168207833,46303948414
2025-01-21,4.418670164403432,1.4844442124338602,7.351132436908285,46303948414
2025-01-22,4.438670676903962,1.7720941004060897,7.527839403198996,46303948414
2025-01-23,4.458671189404495,1.522361283608692,7.309707732623669,46303948414
2025-01-24,4.478671701905026,1.405994803825926,7.259147720685593,46303948414
2025-01-25,4.498672214405557,1.5004538081624577,7.4960161456625904,46303948414
2025-01-26,4.518672726906089,1.7208972966663658,7.714132220432452,46303948414
2025-01-27,4.53867323940662,1.6872783298644272,7.326727475060083,46303948414
2024-12-17,7.714272166685397,7.7142721659655775,7.714272167368229,46308044959
2024-12-18,8.428557166762566,8.42855716599642,8.428557167594773,46308044959
2024-12-19,9.142842166839738,9.142842165899852,9.142842168083446,46308044959
2024-12-20,9.85712716691691,9.85712716564068,9.857127169087535,46308044959
2024-12-21,10.57141216699408,10.571412163992564,10.571412172140699,46308044959
2024-12-22,11.285697167071252,11.285697161697096,11.285697175404403,46308044959
2024-12-23,11.99998216714842,11.999982158337538,11.999982180216316,46308044959
2024-12-24,12.714267167225593,12.714267152861558,12.714267184941301,46308044959
2024-12-25,13.428552167302762,13.428552148320216,13.42855218953204,46308044959
2024-12-26,14.14283716737993,14.142837142452127,14.142837194280078,46308044959
2024-12-27,14.857122167457103,14.857122137484154,14.857122201637948,46308044959
2024-12-28,15.571407167534275,15.571407129929316,15.571407209474817,46308044959
2024-12-29,16.285692167611444,16.28569212152597,16.28569221666759,46308044959
2024-12-30,16.999977167688613,16.999977111973802,16.999977224716538,46308044959
